sample_start,sample_end,record_number,unique_storm_id,runoff_volume,percent_runoff_sampled,number_of_samples,comments,discrete,estimated,exclude,frozen,unique_storm_number,storm_start,storm_end,storm_type,storm_precipitation_inches,storm_erosivity_index,peak_discharge,storm_runoff_cubic_feet,storm_runoff_inches,suspended_sediment_80154_mg_l,flag_suspended_sediment,suspended_sediment_load_pounds,suspended_sediment_yield_pounds_per_acre,chloride_00940_mg_l,flag_chloride,chloride_load_pounds,chloride_yield_pounds_per_acre,no2_no3n_00631_mg_l,flag_no2_no3n,no2_no3n_load_pounds,no2_no3n_yield_pounds_per_acre,ammonium_n_00608_mg_l,flag_ammonium_n,ammonium_n_load_pounds,ammonium_n_yield_pounds_per_acre,tkn_unfiltered_00625_mg_l,flag_tkn_unfiltered,tkn_unfiltered_load_pounds,tkn_unfiltered_yield_pounds_per_acre,orthophosphate_00671_mg_l,flag_orthophosphate,orthophosphate_load_pounds,orthophosphate_yield_pounds_per_acre,tp_unfiltered_00665_mg_l,flag_tp_unfiltered,tp_unfiltered_load_pounds,tp_unfiltered_yield_pounds_per_acre,total_nitrogen_computed_mg_l,total_nitrogen_load_in_pounds,total_nitrogen_yield_pounds_per_acre,organic_nitrogen_computed_mg_l,organic_nitrogen_load_pounds,organic_nitrogen_yield_pounds_per_acre
02/20/16 09:19,02/21/16 10:52,,ESW2-51b,76723,100%,,,0,0,0,1,141,02/20/16 09:19,02/21/16 10:52,,,,3.72,76723,0.78,66,,316.1,11.7,5.2,,24.9,0.9,0.9,,4.31,0.16,0.7,,3.21,0.12,1.970,,9.44,0.35,0.6,,3.10,0.11,1.00,,4.79,0.18,2.9,13.75,0.51,1.3,6.23,0.23
02/21/16 10:52,02/22/16 09:00,,ESW2-51c,9634,100%,,,0,0,0,1,142,02/21/16 10:52,02/22/16 09:00,,,,0.32,9634,0.10,17,,10.2,0.4,9.6,,5.8,0.2,1.7,,1.02,0.04,0.8,,0.49,0.02,2.200,,1.32,0.05,1.0,,0.58,0.02,1.20,,0.72,0.03,3.9,2.35,0.09,1.4,0.83,0.03
,,,,,,,,0,1,0,1,143,02/24/16 13:00,02/25/16 03:15,,,,0.23,5279,0.05,17,,5.6,0.2,9.6,,3.2,0.1,1.7,,0.56,0.02,0.8,,0.27,0.01,2.200,,0.73,0.03,1.0,,0.32,0.01,1.20,,0.40,0.01,3.9,1.29,0.05,1.4,0.45,0.02
,,,,,,,,0,1,0,1,144,02/26/16 14:45,02/26/16 16:45,,,,0.02,69,0.00,17,,0.1,0.0,9.6,,0.0,0.0,1.7,,0.01,0.00,0.8,,0.00,0.00,2.200,,0.01,0.00,1.0,,0.00,0.00,1.20,,0.01,0.00,3.9,0.02,0.00,1.4,0.01,0.00
,,,ESW2-52a,,,,,0,1,0,1,145,02/27/16 12:00,02/28/16 08:15,,,,1.86,32391,0.33,126,,254.8,9.4,15.4,,31.1,1.1,2.5,,5.06,0.19,1.0,,2.04,0.08,3.080,,6.23,0.23,0.8,,1.59,0.06,1.10,,2.22,0.08,5.6,11.28,0.42,2.1,4.19,0.15
02/28/16 08:15,02/29/16 03:30,,ESW2-52b,13928,100%,,,0,0,0,1,146,02/28/16 08:15,02/29/16 03:30,,,,0.69,13928,0.14,126,,109.6,4.0,15.4,,13.4,0.5,2.5,,2.17,0.08,1.0,,0.88,0.03,3.080,,2.68,0.10,0.8,,0.68,0.03,1.10,,0.96,0.04,5.6,4.85,0.18,2.1,1.80,0.07
03/06/16 14:30,03/06/16 20:47,,ESW2-53a,4562,100%,,,0,0,0,1,147,03/06/16 14:45,03/06/16 20:47,,,,0.35,4562,0.05,105,,29.9,1.1,14.3,,4.1,0.2,2.2,,0.63,0.02,1.0,,0.28,0.01,3.210,,0.91,0.03,0.8,,0.23,0.01,1.10,,0.31,0.01,5.4,1.54,0.06,2.2,0.64,0.02
03/06/16 20:47,03/07/16 05:42,,ESW2-53b,7828,100%,,,0,0,0,1,148,03/06/16 20:47,03/07/16 05:42,,,,0.42,7828,0.08,101,,49.4,1.8,13.3,,6.5,0.2,2.5,,1.22,0.05,1.3,,0.62,0.02,3.700,,1.81,0.07,1.3,,0.64,0.02,1.50,,0.73,0.03,6.2,3.03,0.11,2.4,1.19,0.04
03/07/16 05:42,03/08/16 05:46,,ESW2-53c,25384,100%,,,0,0,0,0,149,03/07/16 05:42,03/08/16 05:46,,,,0.95,25384,0.26,367,,581.6,21.5,19.2,,30.4,1.1,4.0,,6.34,0.23,1.1,,1.74,0.06,4.460,,7.07,0.26,0.8,,1.21,0.04,1.40,,2.22,0.08,8.5,13.41,0.49,3.4,5.32,0.20
03/08/16 05:46,03/09/16 02:22,,ESW2-53d,15612,100%,,,0,0,0,0,150,03/08/16 05:46,03/09/16 02:22,,,,0.28,15612,0.16,154,,150.1,5.5,39.3,,38.3,1.4,7.5,,7.31,0.27,1.9,,1.81,0.07,5.700,,5.56,0.21,1.0,,0.96,0.04,1.30,,1.27,0.05,13.2,12.87,0.47,3.8,3.74,0.14
03/09/16 02:22,03/10/16 14:12,,ESW2-53e,24356,97%,,,0,0,0,0,151,03/09/16 02:22,03/11/16 01:30,,,,1.29,25151,0.26,395,,620.2,22.9,50.7,,79.6,2.9,9.2,,14.45,0.53,3.2,,5.02,0.19,8.180,,12.84,0.47,1.4,,2.20,0.08,2.20,,3.45,0.13,17.4,27.29,1.01,5.0,7.82,0.29
,,,,,,,,0,1,0,0,152,03/11/16 09:00,03/12/16 12:30,,,,0.06,1305,0.01,126,,10.3,0.4,75.1,,6.1,0.2,4.8,,0.39,0.01,3.9,,0.31,0.01,9.680,,0.79,0.03,1.7,,0.14,0.01,2.20,,0.18,0.01,14.5,1.18,0.04,5.8,0.47,0.02
03/13/16 17:30,03/15/16 12:30,,ESW2-54,15820,100%,,,0,0,0,0,153,03/13/16 17:30,03/15/16 12:30,,,,0.53,15820,0.16,126,,124.4,4.6,75.1,,74.2,2.7,4.8,,4.74,0.17,3.9,,3.81,0.14,9.680,,9.56,0.35,1.7,,1.68,0.06,2.20,,2.17,0.08,14.5,14.30,0.53,5.8,5.75,0.21
03/15/16 16:45,03/17/16 11:45,,ESW2-55,102894,100%,,,0,0,0,0,154,03/15/16 16:45,03/17/16 11:45,,,,8.86,102894,1.05,3070,,19720.1,727.7,35.1,,225.5,8.3,4.0,,25.69,0.95,1.4,,8.67,0.32,14.300,,91.86,3.39,1.0,,6.42,0.24,7.00,,44.96,1.66,18.3,117.55,4.34,13.0,83.18,3.07
03/26/16 12:30,03/27/16 06:48,,ESW2-56a,30084,100%,,,0,0,0,0,155,03/26/16 12:30,03/27/16 06:48,,,,1.47,30084,0.31,352,,661.1,24.4,32.3,,60.7,2.2,4.3,,8.08,0.30,0.9,,1.67,0.06,3.780,,7.10,0.26,0.7,,1.32,0.05,0.75,,1.41,0.05,8.1,15.18,0.56,2.9,5.43,0.20
03/27/16 06:48,03/28/16 13:00,,ESW2-56b,20477,100%,,,0,0,0,0,156,03/27/16 06:48,03/28/16 13:00,,,,1.26,20477,0.21,180,,230.1,8.5,50.5,,64.6,2.4,7.3,,9.33,0.34,1.4,,1.83,0.07,5.050,,6.46,0.24,1.1,,1.41,0.05,1.20,,1.53,0.06,12.4,15.79,0.58,3.6,4.63,0.17
03/31/16 00:17,03/31/16 11:48,,ESW2-57a,48280,100%,,,0,0,0,0,157,03/31/16 00:17,03/31/16 11:48,,,,4.85,48280,0.49,2090,,6299.4,232.4,29.7,,89.5,3.3,3.7,,11.15,0.41,0.7,,1.96,0.07,9.050,,27.28,1.01,0.8,,2.44,0.09,4.00,,12.06,0.44,12.8,38.43,1.42,8.4,25.32,0.93
03/31/16 11:48,04/01/16 06:45,,ESW2-57b,27302,100%,,,0,0,0,0,158,03/31/16 11:48,04/01/16 06:45,,,,2.48,27302,0.28,931,,1586.8,58.6,32.8,,55.9,2.1,4.4,,7.50,0.28,0.8,,1.33,0.05,5.420,,9.24,0.34,0.8,,1.42,0.05,2.30,,3.92,0.14,9.8,16.74,0.62,4.6,7.91,0.29
,,,,,,,,0,1,0,0,159,04/01/16 08:15,04/01/16 13:45,,,,0.05,415,0.00,931,,24.1,0.9,32.8,,0.8,0.0,4.4,,0.11,0.00,0.8,,0.02,0.00,5.420,,0.14,0.01,0.8,,0.02,0.00,2.30,,0.06,0.00,9.8,0.25,0.01,4.6,0.12,0.00
,,,,,,,,0,1,0,0,160,04/01/16 14:30,04/01/16 17:45,,,,0.02,78,0.00,931,,4.5,0.2,32.8,,0.2,0.0,4.4,,0.02,0.00,0.8,,0.00,0.00,5.420,,0.03,0.00,0.8,,0.00,0.00,2.30,,0.01,0.00,9.8,0.05,0.00,4.6,0.02,0.00
,,,,,,,,0,1,0,0,161,04/06/16 06:01,04/07/16 11:30,,,,0.17,3413,0.03,931,,198.4,7.3,32.8,,7.0,0.3,4.4,,0.94,0.03,0.8,,0.17,0.01,5.420,,1.15,0.04,0.8,,0.18,0.01,2.30,,0.49,0.02,9.8,2.09,0.08,4.6,0.99,0.04
,,,,,,,,0,1,0,0,162,04/08/16 11:22,04/08/16 20:15,,,,0.33,3456,0.04,931,,200.9,7.4,32.8,,7.1,0.3,4.4,,0.95,0.04,0.8,,0.17,0.01,5.420,,1.17,0.04,0.8,,0.18,0.01,2.30,,0.50,0.02,9.8,2.12,0.08,4.6,1.00,0.04
,,,,,,,,0,1,0,0,163,04/09/16 12:17,04/09/16 20:30,,,,0.11,1261,0.01,931,,73.3,2.7,32.8,,2.6,0.1,4.4,,0.35,0.01,0.8,,0.06,0.00,5.420,,0.43,0.02,0.8,,0.07,0.00,2.30,,0.18,0.01,9.8,0.77,0.03,4.6,0.37,0.01
,,,,,,,,0,1,0,0,164,05/12/16 03:35,05/12/16 04:24,,,,0.02,26,0.00,3260,,5.3,0.2,7.50,,0.0,0.0,20,,0.03,0.00,2.02,,0.00,0.00,17,,0.03,0.00,0.37,,0.00,0.00,5.00,,0.01,0.00,36.6,0.06,0.00,15.1,0.02,0.00
06/10/16 21:00,06/10/16 23:00,,ESW2-58,674,100%,,,0,0,0,0,165,06/10/16 21:00,06/10/16 23:00,,,,0.41,674,0.01,3260,,137.2,5.1,7.5,,0.3,0.0,19.5,,0.82,0.03,2.0,,0.08,0.00,17.100,,0.72,0.03,0.4,,0.02,0.00,5.00,,0.21,0.01,36.6,1.54,0.06,15.1,0.63,0.02
,,,,,,,,0,1,0,0,166,06/15/16 03:45,06/15/16 06:00,,,,0.02,69,0.00,329,,1.4,0.1,24,,0.1,0.0,3.40,,0.01,0.00,0.20,,0.00,0.00,3.59,,0.02,0.00,0.51,,0.00,0.00,1.10,,0.00,0.00,7.0,0.03,0.00,3.4,0.01,0.00
06/15/16 18:54,06/16/16 07:45,,ESW2-59,29350,100%,,,0,0,0,0,167,06/15/16 18:54,06/16/16 07:45,,,,14.12,29350,0.30,5070,,9289.6,342.8,14.1,,25.8,1.0,11.1,,20.34,0.75,0.5,,0.84,0.03,18.300,,33.53,1.24,0.3,,0.59,0.02,7.20,,13.19,0.49,29.4,53.87,1.99,17.8,32.69,1.21
06/26/16 03:57,06/26/16 10:00,,ESW2-60,5365,100%,,,0,0,0,0,168,06/26/16 03:57,06/26/16 10:00,,,,1.41,5365,0.05,583,,195.3,7.2,15.7,,5.3,0.2,3.6,,1.21,0.04,0.1,,0.05,0.00,3.280,,1.10,0.04,0.4,,0.14,0.01,1.20,,0.40,0.01,6.9,2.30,0.09,3.1,1.05,0.04
06/30/16 16:20,07/01/16 00:30,,ESW2-61,4251,100%,,,0,0,0,0,169,06/30/16 16:20,07/01/16 00:30,,,,0.72,4251,0.04,329,,87.3,3.2,24.3,,6.4,0.2,3.4,,0.90,0.03,0.2,,0.05,0.00,3.590,,0.95,0.04,0.5,,0.13,0.00,1.10,,0.29,0.01,7.0,1.85,0.07,3.4,0.90,0.03
09/06/16 16:24,,,ESW2-1249,,,,,1,0,0,0,170,09/06/16 16:18,09/06/16 16:45,,,,0.26,156,0.00,1050,,10.2,0.4,0.6,,0.0,0.0,0.1,<,0.00,0.00,0.1,,0.00,0.00,4.790,,0.05,0.00,0.4,,0.00,0.00,1.70,,0.02,0.00,4.8,0.05,0.00,4.7,0.05,0.00
09/06/16 19:08,09/07/16 15:15,,ESW2-63,2341,100%,,,0,0,0,0,171,09/06/16 19:08,09/07/16 15:15,,,,0.25,2341,0.02,84,,12.3,0.5,33.1,,4.8,0.2,1.0,,0.15,0.01,0.1,,0.01,0.00,2.760,,0.40,0.01,0.8,,0.11,0.00,1.00,,0.15,0.01,3.8,0.55,0.02,2.7,0.39,0.01
09/10/16 04:49,09/10/16 20:45,,ESW2-64,4415,100%,,,0,0,0,0,172,09/10/16 04:49,09/10/16 20:45,,,,0.46,4415,0.04,69,,19.0,0.7,25.9,,7.1,0.3,0.1,<,0.01,0.00,0.1,,0.01,0.00,2.360,,0.65,0.02,0.6,,0.17,0.01,0.85,,0.23,0.01,2.4,0.66,0.02,2.3,0.64,0.02
09/13/16 04:18,,,ESW2-1290,,,,,1,0,0,0,173,09/13/16 04:13,09/13/16 04:20,,,,0.97,147,0.00,1680,,15.4,0.6,1.1,,0.0,0.0,0.1,<,0.00,0.00,0.1,,0.00,0.00,6.150,,0.06,0.00,0.3,,0.00,0.00,2.40,,0.02,0.00,6.2,0.06,0.00,6.0,0.06,0.00
09/13/16 04:22,,,ESW2-1291,,,,,1,0,0,0,174,09/13/16 04:20,09/13/16 04:26,,,,1.74,484,0.00,1510,,45.6,1.7,0.5,,0.0,0.0,0.1,<,0.00,0.00,0.1,,0.00,0.00,4.800,,0.14,0.01,0.3,,0.01,0.00,2.20,,0.07,0.00,4.9,0.15,0.01,4.7,0.14,0.01
09/13/16 04:31,,,ESW2-1292,,,,,1,0,0,0,175,09/13/16 04:26,09/13/16 06:21,,,,7.53,20494,0.21,1500,,1919.1,70.8,5.9,,7.5,0.3,0.3,,0.38,0.01,0.0,,0.05,0.00,4.620,,5.91,0.22,0.5,,0.59,0.02,2.00,,2.56,0.09,4.9,6.29,0.23,4.6,5.86,0.22
09/13/16 08:12,,,ESW2-1293,,,,,1,0,0,0,176,09/13/16 06:21,09/13/16 09:12,,,,0.82,2506,0.03,83,,13.0,0.5,33.4,,5.2,0.2,3.3,,0.52,0.02,0.0,,0.01,0.00,2.900,,0.45,0.02,0.6,,0.10,0.00,0.84,,0.13,0.00,6.2,0.97,0.04,2.9,0.45,0.02
09/13/16 10:12,,,ESW2-1297,,,,,1,0,0,0,177,09/13/16 09:12,09/13/16 22:30,,,,0.09,1028,0.01,19,,1.2,0.0,43.3,,2.8,0.1,3.4,,0.22,0.01,0.1,,0.00,0.00,2.970,,0.19,0.01,0.6,,0.04,0.00,0.75,,0.05,0.00,6.4,0.41,0.02,2.9,0.19,0.01
,,,,,,,,0,1,0,0,178,09/16/16 15:00,09/16/16 17:30,,,,0.07,216,0.00,19,,0.3,0.0,43,,0.6,0.0,3,,0.05,0.00,0.06,,0.00,0.00,2.97,,0.04,0.00,0.62,,0.01,0.00,0.75,,0.01,0.00,6.4,0.09,0.00,2.9,0.04,0.00
09/21/16 22:32,09/22/16 03:30,,ESW2-66a,34845,100%,,,0,0,0,0,179,09/21/16 22:32,09/22/16 03:30,,,,4.72,34845.12,0.35,542,,1179.0,43.5,17.3,,37.6,1.4,2.3,,5.00,0.18,0.04,,0.09,0.00,4.44,,9.66,0.36,0.66,,1.44,0.05,2.00,,4.35,0.16,6.7,14.66,0.54,4.4,9.57,0.35
,,,ESW2-66b,,,,,0,1,0,0,180,09/22/16 03:30,09/22/16 07:27,,,,1.12,8882,0.09,75,,41.6,1.5,35,,19.6,0.7,4,,2.44,0.09,0.05,,0.03,0.00,3.10,,1.72,0.06,0.72,,0.40,0.01,0.99,,0.55,0.02,7.5,4.16,0.15,3.1,1.69,0.06
09/22/16 07:27,09/23/16 06:45,,ESW2-66c,7828,100%,,,0,0,0,0,181,09/22/16 07:27,09/23/16 06:45,,,,0.61,7827.84,0.08,75,,36.7,1.4,35.4,,17.3,0.6,4.4,,2.15,0.08,0.1,,0.02,0.00,3.100,,1.51,0.06,0.7,,0.35,0.01,0.99,,0.48,0.02,7.5,3.67,0.14,3.1,1.49,0.05
09/25/16 16:40,09/26/16 01:30,,ESW2-67,3905,100%,,,0,0,0,0,182,09/25/16 16:40,09/26/16 01:30,,,,1.18,3905.28,0.04,726,,177.0,6.5,31.5,,7.7,0.3,0.1,<,0.01,0.00,0.1,,0.02,0.00,5.590,,1.36,0.05,0.9,,0.23,0.01,2.50,,0.61,0.02,5.6,1.38,0.05,5.5,1.34,0.05
,,,,,0%,,,0,1,0,0,183,10/12/16 17:07,10/12/16 20:00,,,,0.03,113,0.00,889,,6.3,0.2,53.7,,0.4,0.0,3.6,,0.03,0.00,0.1,,0.00,0.00,5.91,,0.04,0.00,0.53,,0.00,0.00,2.27,,0.02,0.00,9.5,0.07,0.00,5.8,0.04,0.00
10/26/16 06:52,10/27/16 06:45,1700090,ESW2-68,22297,100%,24,,0,0,0,0,184,10/26/16 06:52,10/27/16 06:45,,,,0.61,22297,0.23,889,,1237.5,45.7,53.7,,74.7,2.8,3.6,,5.01,0.18,0.10,,0.14,0.01,5.91,,8.23,0.30,0.53,,0.74,0.03,2.27,,3.16,0.12,9.5,13.24,0.49,5.8,8.09,0.30
10/27/16 07:45,,1700091,ESW2-1358,2011,100%,1,,1,0,0,0,185,10/27/16 06:45,10/29/16 07:45,,,,0.06,2011,0.02,242,,30.4,1.1,60.2,,7.6,0.3,4.4,,0.55,0.02,0.13,,0.02,0.00,3.84,,0.48,0.02,0.56,,0.07,0.00,1.33,,0.17,0.01,8.2,1.03,0.04,3.7,0.47,0.02
11/28/16 00:57,11/28/16 14:12,1700763,ESW2-69,1977,100%,8,,0,0,0,0,186,11/28/16 00:57,11/28/16 14:12,,,,0.10,1977,0.02,234,,28.9,1.1,236.0,,29.1,1.1,6.3,,0.78,0.03,10.3,,1.27,0.05,39.5,,4.88,0.18,2.59,,0.32,0.01,5.81,,0.72,0.03,45.8,5.65,0.21,29.2,3.60,0.13
11/28/16 14:12,11/30/16 02:55,1700764,ESW2-70,32472,100%,17,,0,0,0,0,187,11/28/16 14:12,11/30/16 02:55,,,,1.29,32472,0.33,254,,514.9,19.0,163.0,,330.4,12.2,15.7,,31.83,1.17,6.66,,13.50,0.50,22.9,,46.42,1.71,2.64,,5.35,0.20,4.49,,9.10,0.34,38.6,78.25,2.89,16.2,32.92,1.21
11/30/16 02:55,12/02/16 14:00,,,,0%,,,0,1,0,0,188,11/30/16 02:55,12/02/16 14:00,,,,0.05,3976,0.04,254,,63.0,2.3,163.0,,40.5,1.5,15.7,,3.90,0.14,6.66,,1.65,0.06,22.9,,5.68,0.21,2.64,,0.66,0.02,4.49,,1.11,0.04,38.6,9.58,0.35,16.2,4.03,0.15
12/05/16 14:15,12/07/16 02:30,,,,0%,,,0,1,0,0,189,12/05/16 14:15,12/07/16 02:30,,,,0.06,2450,0.02,23,,3.5,0.1,40.9,,6.3,0.2,3.4,,0.52,0.02,1.75,,0.27,0.01,5.38,,0.82,0.03,0.54,,0.08,0.00,0.911,,0.14,0.01,8.8,1.34,0.05,3.6,0.56,0.02
12/26/16 14:35,,1700765,ESW2-1391,5328,100%,1,,1,0,0,0,190,12/26/16 08:45,12/27/16 06:45,,,,0.16,5328,0.05,23,,7.7,0.3,40.9,,13.6,0.5,3.4,,1.13,0.04,1.75,,0.58,0.02,5.38,,1.79,0.07,0.54,,0.18,0.01,0.911,,0.30,0.01,8.8,2.92,0.11,3.6,1.21,0.04
01/10/17 14:15,01/10/17 19:15,,,,0%,,,0,1,0,1,191,01/10/17 14:15,01/10/17 19:15,,,,0.07,629,0.01,23,,0.9,0.0,40.9,,1.6,0.1,3.4,,0.13,0.00,1.75,,0.07,0.00,5.38,,0.21,0.01,0.54,,0.02,0.00,0.911,,0.04,0.00,8.8,0.34,0.01,3.6,0.14,0.01
01/16/17 18:27,01/18/17 09:14,,,,0%,,,0,1,0,1,192,01/16/17 18:27,01/18/17 09:14,,,,0.19,14890,0.15,20,,18.6,0.7,5.2,,4.8,0.2,1,,0.93,0.03,0.44,,0.41,0.02,1.58,,1.47,0.05,0.58,,0.54,0.02,0.66,,0.61,0.02,2.6,2.40,0.09,1.1,1.06,0.04
01/18/17 09:14,01/19/17 09:45,1700766,ESW2-71b,6830,100%,7,,0,0,0,1,193,01/18/17 09:14,01/19/17 09:45,,,,0.22,6830,0.07,20,,8.5,0.3,5.2,,2.2,0.1,1.0,,0.43,0.02,0.44,,0.19,0.01,1.58,,0.67,0.02,0.58,,0.25,0.01,0.66,,0.28,0.01,2.6,1.10,0.04,1.1,0.49,0.02
01/19/17 19:31,,1700767,ESW2-1402,3067,100%,1,,1,0,0,1,194,01/19/17 09:45,01/20/17 02:30,,,,0.13,3067,0.03,24,,4.6,0.2,7.4,,1.4,0.1,1.6,,0.31,0.01,0.46,,0.09,0.00,1.91,,0.37,0.01,0.56,,0.11,0.00,0.687,,0.13,0.00,3.5,0.67,0.02,1.5,0.28,0.01
01/23/17 11:40,,1700768,ESW2-1422grab,93876,100%,1,,1,0,0,1,195,01/20/17 02:30,01/23/17 08:41,,,,1.03,93876,0.95,58,,339.9,12.5,23.5,,137.7,5.1,3.1,,18.17,0.67,0.93,,5.45,0.20,3.9,,22.86,0.84,0.87,,5.11,0.19,1.09,,6.39,0.24,7.0,41.02,1.51,3.0,17.41,0.64
01/23/17 08:41,01/24/17 07:00,1700769,ESW2-71e,14584,100%,3,,0,0,0,1,196,01/23/17 08:41,01/24/17 07:00,,,,0.68,14584,0.15,61,,55.5,2.0,25.8,,23.5,0.9,2.9,,2.64,0.10,1.06,,0.97,0.04,4.33,,3.94,0.15,0.97,,0.88,0.03,1.19,,1.08,0.04,7.2,6.58,0.24,3.3,2.98,0.11
01/24/17 07:00,01/25/17 01:37,1700770,ESW2-71f,13426,100%,3,,0,0,0,1,197,01/24/17 07:00,01/25/17 06:00,,,,0.62,13426,0.14,65,,54.5,2.0,34.4,,28.8,1.1,2.7,,2.26,0.08,1.58,,1.32,0.05,5.73,,4.80,0.18,1.17,,0.98,0.04,1.4,,1.17,0.04,8.4,7.07,0.26,4.2,3.48,0.13
,,,,,0%,,,0,1,0,1,198,01/25/17 12:27,01/25/17 22:15,,,,1.25,10740,0.11,65,,43.6,1.6,34.4,,23.1,0.9,2.7,,1.81,0.07,1.58,,1.06,0.04,5.73,,3.84,0.14,1.17,,0.78,0.03,1.4,,0.94,0.03,8.4,5.65,0.21,4.2,2.78,0.10
,,,,,0%,,,0,1,0,1,199,01/26/17 10:15,01/26/17 19:15,,,,0.28,4284,0.04,65,,17.4,0.6,34.4,,9.2,0.3,2.7,,0.72,0.03,1.58,,0.42,0.02,5.73,,1.53,0.06,1.17,,0.31,0.01,1.4,,0.37,0.01,8.4,2.25,0.08,4.2,1.11,0.04
02/12/17 10:45,02/12/17 16:53,1701013,ESW2-72,9017,100%,2,,0,0,0,1,200,02/12/17 10:45,02/12/17 16:53,,,,0.77,9017,0.09,297,,167.2,6.2,14.3,,8.0,0.3,1.5,,0.84,0.03,1.14,,0.64,0.02,3.82,,2.15,0.08,0.62,,0.35,0.01,1.22,,0.69,0.03,5.3,2.99,0.11,2.7,1.51,0.06
,,,,,0%,,,0,1,0,1,201,02/13/17 12:45,02/13/17 18:45,,,,0.13,1569,0.02,297,,29.1,1.1,14.3,,1.4,0.1,1.5,,0.15,0.01,1.14,,0.11,0.00,3.82,,0.37,0.01,0.62,,0.06,0.00,1.22,,0.12,0.00,5.3,0.52,0.02,2.7,0.26,0.01
,,,,,0%,,,0,1,0,1,202,02/14/17 12:00,02/14/17 19:00,,,,0.38,3795,0.04,119,,28.2,1.0,23.2,,5.5,0.2,0.1,<,0.01,0.00,3.79,,0.90,0.03,6.92,,1.64,0.06,1.84,,0.44,0.02,2.33,,0.55,0.02,7.0,1.65,0.06,3.1,0.74,0.03
02/17/17 11:45,02/17/17 20:00,1701014,ESW2-73,4612,100%,2,,0,0,0,1,203,02/17/17 11:45,02/17/17 20:00,,,,0.37,4612,0.05,119,,34.3,1.3,23.3,,6.7,0.2,0.1,<,0.01,0.00,3.79,,1.09,0.04,6.92,,1.99,0.07,1.84,,0.53,0.02,2.33,,0.67,0.02,7.0,2.01,0.07,3.1,0.90,0.03
02/18/17 07:45,02/18/17 20:45,1701015,ESW2-74,7903,100%,5,,0,0,0,1,204,02/18/17 07:45,02/18/17 20:45,,,,0.44,7903,0.08,174,,85.8,3.2,36.4,,18.0,0.7,0.1,<,0.02,0.00,3.9,,1.92,0.07,7.46,,3.68,0.14,1.09,,0.54,0.02,1.74,,0.86,0.03,7.5,3.71,0.14,3.6,1.76,0.06
02/19/17 08:00,02/19/17 23:45,1701016,ESW2-75,6706,100%,5,,0,0,0,1,205,02/19/17 08:00,02/19/17 23:45,,,,0.27,6706,0.07,41,,17.2,0.6,49.3,,20.6,0.8,0.1,,0.04,0.00,2.66,,1.11,0.04,5.87,,2.46,0.09,0.51,,0.21,0.01,0.893,,0.37,0.01,6.0,2.50,0.09,3.2,1.34,0.05
02/20/17 06:30,02/20/17 18:04,1701017,ESW2-76a,3043,100%,4,,0,0,0,1,206,02/20/17 06:30,02/20/17 18:04,,,,0.17,3043,0.03,20,,3.8,0.1,56.6,,10.8,0.4,0.1,,0.02,0.00,1.74,,0.33,0.01,5.26,,1.00,0.04,0.36,,0.07,0.00,0.733,,0.14,0.01,5.4,1.02,0.04,3.5,0.67,0.02
02/20/17 18:04,02/21/17 23:55,1701018,ESW2-76b,31467,100%,12,,0,0,0,1,207,02/20/17 18:04,02/21/17 23:55,,,,0.90,31467,0.32,205,,402.7,14.9,68.2,,134.0,4.9,0.1,<,0.10,0.00,3.05,,5.99,0.22,7.97,,15.66,0.58,0.60,,1.18,0.04,1.41,,2.77,0.10,8.0,15.75,0.58,4.9,9.67,0.36
02/22/17 06:38,,1701019,ESW2-1468,7587,100%,1,,1,0,0,0,208,02/21/17 23:55,02/24/17 02:15,,,,0.11,7587,0.08,9,,4.3,0.2,90.3,,42.8,1.6,0.1,<,0.02,0.00,3.61,,1.71,0.06,8.55,,4.05,0.15,0.61,,0.29,0.01,1.4,,0.66,0.02,8.6,4.07,0.15,4.9,2.34,0.09
02/27/17 12:45,02/28/17 03:15,,,,0%,,,0,1,0,0,209,02/27/17 12:45,02/28/17 03:15,,,,0.03,642,0.01,170,,6.8,0.3,62.1,,2.5,0.1,1.4,,0.06,0.00,3,,0.12,0.00,6.16,,0.25,0.01,0.77,,0.03,0.00,1.28,,0.05,0.00,7.6,0.30,0.01,3.2,0.13,0.00
02/28/17 03:15,02/28/17 22:07,1701225,ESW2-77a,42288,100%,12,,0,0,0,0,210,02/28/17 03:15,02/28/17 22:07,,,,1.71,42288,0.43,170,,448.8,16.6,62.1,,163.9,6.0,1.4,,3.70,0.14,3,,7.92,0.29,6.16,,16.26,0.60,0.77,,2.02,0.07,1.28,,3.38,0.12,7.6,19.96,0.74,3.2,8.34,0.31
02/28/17 22:07,03/01/17 10:00,1701226,ESW2-77b,19824,100%,3,,0,0,0,0,211,02/28/17 22:07,03/01/17 10:00,,,,1.09,19824,0.20,182,,225.2,8.3,63.5,,78.6,2.9,1.9,,2.35,0.09,3.69,,4.57,0.17,7.33,,9.07,0.33,0.89,,1.10,0.04,1.41,,1.75,0.06,9.2,11.42,0.42,3.6,4.50,0.17
